Date,Open,High,Low,Close,Adj Close,Volume
2016-03-14,143.860001,145.309998,143.190002,144.619995,127.484459,3013800
2016-03-15,144.839996,145.300003,142.800003,143.210007,126.241508,3034200
2016-03-16,143.000000,147.000000,141.929993,143.979996,126.920280,6104700
2016-03-17,143.720001,145.800003,141.839996,144.130005,127.052513,4899700
2016-03-18,144.970001,146.399994,142.509995,145.509995,128.268997,6802600
2016-03-21,145.300003,147.949997,145.020004,147.009995,129.591232,3176800
2016-03-22,147.050003,150.990005,146.830002,150.619995,132.773544,4213900
2016-03-23,150.309998,151.910004,148.139999,148.759995,131.133942,3107600
2016-03-24,148.759995,150.949997,147.600006,149.240005,131.557068,3025800
2016-03-28,149.320007,150.360001,147.320007,148.369995,130.790161,2111000
2016-03-29,148.460007,149.690002,146.800003,149.490005,131.777435,2735700
2016-03-30,149.610001,150.880005,148.300003,149.479996,131.768585,2324500
2016-03-31,149.330002,150.960007,149.130005,149.929993,132.165298,2799600
2016-04-01,150.020004,154.440002,149.100006,154.160004,135.894104,3972200
2016-04-04,154.000000,155.960007,153.699997,154.660004,136.334854,2314200
2016-04-05,153.679993,155.160004,152.619995,152.949997,134.827438,2604600
2016-04-06,154.240005,159.850006,153.520004,159.660004,140.742447,4067000
2016-04-07,159.050003,159.979996,156.570007,157.380005,138.732559,3363900
2016-04-08,158.240005,159.000000,155.419998,156.460007,137.921585,2522100
2016-04-11,156.399994,157.750000,155.279999,156.389999,137.859909,2732800
2016-04-12,156.139999,159.199997,156.110001,158.600006,139.808029,2763400
2016-04-13,159.020004,160.889999,158.229996,160.059998,141.095032,3860600
2016-04-14,159.809998,160.770004,159.369995,160.119995,141.147919,2406800
2016-04-15,160.149994,160.389999,158.460007,160.130005,141.156708,2824300
2016-04-18,159.490005,162.100006,159.399994,161.699997,142.540726,2081100
2016-04-19,160.800003,162.500000,160.339996,162.100006,142.893341,2693000
2016-04-20,163.020004,163.839996,161.800003,162.759995,143.475113,2374300
2016-04-21,162.440002,164.539993,162.029999,164.350006,144.876755,2348400
2016-04-22,164.520004,164.699997,162.179993,163.190002,143.854156,2757200
2016-04-25,163.149994,163.750000,162.240005,163.460007,144.092163,1596300
2016-04-26,163.389999,163.910004,162.020004,162.850006,143.554474,2156600
2016-04-27,162.720001,162.899994,160.500000,161.000000,141.923615,2729500
2016-04-28,160.220001,163.679993,159.360001,160.559998,141.535797,3354100
2016-04-29,159.389999,161.919998,156.380005,158.300003,139.543549,5386600
2016-05-02,158.619995,159.419998,157.210007,158.990005,140.151764,2433700
2016-05-03,158.369995,158.460007,156.000000,156.350006,137.824615,2862900
2016-05-04,155.279999,155.860001,153.529999,154.179993,135.911713,3048400
2016-05-05,154.130005,156.210007,153.360001,154.250000,135.973434,2325400
2016-05-06,153.490005,154.449997,151.360001,153.190002,135.039001,3004800
2016-05-09,153.699997,156.080002,153.020004,155.410004,136.995972,2990100
2016-05-10,155.949997,157.500000,154.949997,157.240005,138.609116,2585000
2016-05-11,157.729996,158.250000,154.089996,154.179993,135.911713,2741800
2016-05-12,154.679993,155.000000,151.970001,152.899994,134.783401,2981600
2016-05-13,151.220001,154.080002,151.220001,152.350006,135.182709,2451200
2016-05-16,152.350006,153.860001,151.699997,153.270004,135.999023,2415100
2016-05-17,152.449997,152.910004,149.440002,150.110001,133.195099,4486500
2016-05-18,149.910004,151.429993,149.210007,150.830002,133.833954,3234500
2016-05-19,149.449997,150.229996,147.119995,148.669998,131.917374,3023600
2016-05-20,148.919998,151.710007,148.649994,150.179993,133.257187,3075800
2016-05-23,150.039993,150.750000,149.149994,149.300003,132.476395,1543400
2016-05-24,150.710007,152.940002,150.389999,152.720001,135.510986,2581000
2016-05-25,153.539993,155.839996,153.149994,155.570007,138.039795,3053100
2016-05-26,154.919998,156.279999,154.550003,155.550003,138.022095,1808600
2016-05-27,156.199997,156.880005,155.110001,156.740005,139.078003,1364000
2016-05-31,157.419998,158.429993,156.860001,157.949997,140.151672,3204400
2016-06-01,157.610001,158.839996,156.669998,158.050003,140.240417,1716400
2016-06-02,158.229996,159.869995,157.949997,159.869995,141.855301,2386300
2016-06-03,159.860001,159.990005,156.820007,159.190002,141.251923,2149300
2016-06-06,159.580002,160.750000,158.889999,160.190002,142.139282,1897600
2016-06-07,159.130005,159.639999,158.279999,158.889999,140.985718,1896700
2016-06-08,158.479996,158.940002,157.539993,158.000000,140.196030,2476000
2016-06-09,157.759995,158.979996,156.000000,156.779999,139.113495,2383200
2016-06-10,155.259995,156.320007,153.639999,154.779999,137.338882,2626100
2016-06-13,155.059998,156.119995,152.990005,153.080002,135.830414,2340300
2016-06-14,152.740005,153.479996,151.639999,152.990005,135.750580,2115200
2016-06-15,153.130005,154.080002,151.820007,151.899994,134.783371,2443700
2016-06-16,151.679993,152.899994,150.699997,152.300003,135.138321,2321700
2016-06-17,152.610001,152.759995,149.550003,149.619995,132.760315,4681500
2016-06-20,151.789993,152.690002,150.369995,150.649994,133.674225,3250500
2016-06-21,151.139999,151.470001,148.500000,149.419998,132.582870,2622200
2016-06-22,149.080002,152.179993,149.000000,149.809998,132.928879,4470100
2016-06-23,151.210007,152.399994,150.630005,152.270004,135.111694,3000400
2016-06-24,147.199997,149.300003,146.029999,146.449997,129.947510,4919200
2016-06-27,146.160004,147.070007,143.820007,144.580002,128.288254,4176700
2016-06-28,145.889999,148.419998,145.600006,148.419998,131.695511,4348000
2016-06-29,149.110001,150.750000,148.630005,150.100006,133.186234,3771100
2016-06-30,150.830002,152.429993,149.830002,152.149994,135.005234,3480700
2016-07-01,152.429993,154.949997,152.250000,154.279999,136.895203,2758100
2016-07-05,154.289993,154.940002,153.380005,154.270004,136.886337,2349100
2016-07-06,153.440002,156.820007,152.949997,156.050003,138.465744,3834000
2016-07-07,155.860001,156.759995,155.250000,156.589996,138.944901,2437100
2016-07-08,157.619995,161.110001,156.199997,161.100006,142.946732,3741500
2016-07-11,161.360001,162.320007,160.000000,160.179993,142.130356,2464700
2016-07-12,160.619995,162.279999,160.509995,161.960007,143.709839,2407200
2016-07-13,162.639999,162.660004,160.309998,160.520004,142.432083,2691800
2016-07-14,162.000000,162.990005,160.740005,162.740005,144.401962,2444800
2016-07-15,163.449997,164.570007,161.559998,163.279999,144.881027,3179700
2016-07-18,163.820007,164.000000,162.789993,162.929993,144.570511,1815600
2016-07-19,163.199997,164.710007,161.940002,162.490005,144.180084,2249500
2016-07-20,162.449997,163.649994,161.820007,163.250000,144.854416,2161400
2016-07-21,163.389999,164.259995,162.710007,164.190002,145.688553,1971800
2016-07-22,164.779999,166.330002,164.000000,165.669998,147.001770,2500400
2016-07-25,165.699997,166.949997,164.070007,166.559998,147.791428,2704900
2016-07-26,165.889999,168.050003,165.770004,167.669998,148.776382,2883600
2016-07-27,167.449997,171.089996,167.440002,170.679993,151.447189,4200200
2016-07-28,168.929993,171.800003,166.509995,171.279999,151.979599,5192500
2016-07-29,171.570007,172.259995,170.529999,172.029999,152.645081,3121600
2016-08-01,172.910004,174.979996,172.279999,174.160004,154.535080,3571900
2016-08-02,175.050003,176.500000,173.169998,174.149994,154.526184,6589000
2016-08-03,173.740005,174.389999,172.279999,173.429993,153.887344,3911800
2016-08-04,173.300003,173.669998,172.039993,172.669998,153.212997,2122200
2016-08-05,173.350006,174.520004,172.509995,173.660004,154.091431,2228300
2016-08-08,173.309998,174.160004,171.830002,172.339996,152.920120,2706500
2016-08-09,172.660004,173.300003,171.679993,172.080002,152.689468,2094200
2016-08-10,171.889999,172.199997,170.710007,171.229996,151.935181,2476600
2016-08-11,172.240005,172.779999,171.050003,172.429993,153.000000,2142800
2016-08-12,171.240005,173.149994,170.679993,173.020004,153.523514,1863200
2016-08-15,171.479996,174.720001,171.479996,174.580002,155.808273,2784300
2016-08-16,174.539993,174.910004,172.070007,172.160004,153.648483,2622800
2016-08-17,172.009995,174.500000,171.679993,174.309998,155.567322,2580900
2016-08-18,174.429993,176.639999,173.570007,174.750000,155.959991,3422400
2016-08-19,174.100006,174.960007,172.259995,173.619995,154.951477,2696400
2016-08-22,173.740005,175.179993,173.220001,174.350006,155.602997,2603700
2016-08-23,174.440002,175.990005,173.660004,174.399994,155.647614,2375700
2016-08-24,174.000000,174.869995,170.279999,170.839996,152.470413,3055000
2016-08-25,169.919998,171.460007,168.759995,170.229996,151.926010,2623800
2016-08-26,170.800003,172.990005,169.770004,171.970001,153.478928,2925300
2016-08-29,172.369995,172.500000,171.119995,171.509995,153.068359,2512200
2016-08-30,171.160004,171.940002,170.119995,170.759995,152.398972,1803100
2016-08-31,170.729996,171.389999,169.820007,170.059998,151.774277,2936400
2016-09-01,170.550003,170.559998,168.619995,170.130005,151.836761,1876100
2016-09-02,170.550003,171.050003,168.910004,169.770004,151.515472,2083800
2016-09-06,169.850006,171.770004,169.389999,170.839996,152.470413,1919700
2016-09-07,169.779999,171.440002,169.199997,170.630005,152.282959,2013000
2016-09-08,170.070007,171.360001,169.729996,170.970001,152.586441,2611200
2016-09-09,169.690002,169.759995,166.529999,166.550003,148.641678,3131400
2016-09-12,166.080002,172.580002,165.929993,172.039993,153.541351,4451500
2016-09-13,171.240005,171.500000,167.809998,169.300003,151.096008,3162600
2016-09-14,169.649994,171.770004,169.500000,170.139999,151.845703,2799000
2016-09-15,170.039993,173.389999,169.470001,172.639999,154.076859,2923900
2016-09-16,172.589996,173.389999,171.050003,172.960007,154.362473,4028300
2016-09-19,173.250000,173.500000,171.179993,171.380005,152.952332,2226800
2016-09-20,172.940002,174.259995,172.460007,173.380005,154.737274,2607700
2016-09-21,174.240005,174.250000,171.610001,173.850006,155.156738,2516400
2016-09-22,174.600006,175.729996,173.750000,175.619995,156.736420,2338300
2016-09-23,176.270004,176.850006,174.610001,174.800003,156.004608,2238700
2016-09-26,174.220001,174.449997,172.830002,173.529999,154.871155,1798500
2016-09-27,170.240005,171.979996,169.500000,171.630005,153.175446,4798900
2016-09-28,172.220001,172.220001,169.050003,169.710007,151.461868,3300700
2016-09-29,170.389999,170.389999,165.330002,165.449997,147.659958,3804000
2016-09-30,166.380005,167.720001,165.270004,166.809998,148.873703,3999600
2016-10-03,166.050003,167.580002,164.440002,167.339996,149.346756,2514600
2016-10-04,167.339996,168.690002,167.139999,167.550003,149.534119,2797600
2016-10-05,167.550003,168.389999,166.919998,167.240005,149.257507,1953400
2016-10-06,166.330002,167.789993,165.789993,166.899994,148.954041,1904100
2016-10-07,167.940002,168.149994,166.300003,167.500000,149.489532,1679800
2016-10-10,168.199997,168.589996,167.669998,168.309998,150.212418,1628200
2016-10-11,167.820007,167.820007,163.509995,164.320007,146.651489,2761900
2016-10-12,164.320007,165.589996,163.610001,163.880005,146.258789,2250600
2016-10-13,162.850006,165.089996,162.509995,164.289993,146.624680,2430900
2016-10-14,165.050003,165.250000,161.839996,161.899994,144.491669,2817500
2016-10-17,162.199997,163.449997,161.139999,162.619995,145.134247,2348400
2016-10-18,163.740005,163.860001,162.750000,162.800003,145.294907,2001800
2016-10-19,163.419998,163.610001,161.020004,161.080002,143.759842,2502700
2016-10-20,161.000000,163.350006,161.000000,161.500000,144.134705,2922600
2016-10-21,160.690002,161.220001,158.350006,158.509995,141.466217,3541000
2016-10-24,159.360001,159.699997,158.240005,158.759995,141.689285,2920200
2016-10-25,158.839996,159.270004,157.800003,157.899994,140.921768,2414300
2016-10-26,158.679993,160.050003,158.029999,158.990005,141.894547,2716800
2016-10-27,159.710007,161.600006,159.639999,160.570007,143.304688,3366900
2016-10-28,151.690002,151.759995,142.639999,145.179993,129.569489,18311600
2016-10-31,146.550003,146.679993,140.940002,141.160004,125.981743,8693700
2016-11-01,141.169998,142.410004,139.309998,140.759995,125.624756,5589300
2016-11-02,140.309998,140.610001,138.639999,138.699997,123.786263,4622500
2016-11-03,139.699997,139.770004,135.000000,135.220001,120.680466,5791200
2016-11-04,133.710007,137.610001,133.639999,135.399994,120.841095,5051500
2016-11-07,137.850006,140.229996,137.160004,139.210007,124.241417,5146000
2016-11-08,139.550003,140.000000,137.350006,138.449997,123.563118,3668500
2016-11-09,146.750000,152.850006,142.750000,146.419998,130.676147,11793400
2016-11-10,150.399994,152.229996,148.759995,151.570007,135.272415,8933400
2016-11-11,150.050003,150.839996,146.800003,149.039993,133.014465,5159400
2016-11-14,148.470001,149.149994,146.009995,146.419998,131.558884,5060000
2016-11-15,146.869995,148.460007,145.009995,147.059998,132.133911,4515100
2016-11-16,147.570007,148.500000,146.440002,147.229996,132.286682,4108200
2016-11-17,147.729996,148.449997,146.509995,147.360001,132.403503,3957300
2016-11-18,147.050003,148.350006,144.899994,145.229996,130.489639,3764600
2016-11-21,145.990005,146.169998,145.110001,145.550003,130.777206,2860500
2016-11-22,146.820007,146.949997,142.820007,144.330002,129.680984,3586200
2016-11-23,142.940002,145.169998,142.839996,145.029999,130.309967,3216900
2016-11-25,145.220001,146.000000,144.759995,145.429993,130.669373,2004000
2016-11-28,145.250000,145.919998,144.500000,145.070007,130.345901,2411700
2016-11-29,145.360001,146.789993,145.309998,146.000000,131.181519,2939100
2016-11-30,145.699997,146.320007,144.070007,144.070007,129.447403,4296900
2016-12-01,144.240005,144.240005,142.139999,142.389999,127.937897,3894000
2016-12-02,142.289993,144.910004,141.500000,144.009995,129.393463,3517300
2016-12-05,145.449997,146.369995,143.720001,145.289993,130.543533,3855500
2016-12-06,145.800003,145.990005,144.279999,145.110001,130.381821,2399000
2016-12-07,143.520004,143.880005,139.660004,141.190002,126.859711,7031300
2016-12-08,140.830002,141.100006,138.830002,140.589996,126.320602,4387600
2016-12-09,141.500000,144.580002,141.000000,143.449997,128.890305,4637300
2016-12-12,142.919998,146.039993,142.789993,145.759995,130.965866,3310100
2016-12-13,146.809998,149.970001,146.550003,148.369995,133.310959,4308700
2016-12-14,148.160004,149.550003,147.419998,148.690002,133.598480,3196700
2016-12-15,149.179993,150.470001,148.779999,150.389999,135.125961,2950500
2016-12-16,150.919998,151.210007,148.809998,149.369995,134.209457,6356800
2016-12-19,149.750000,150.350006,147.210007,147.740005,132.744904,3013800
2016-12-20,146.820007,147.990005,146.470001,147.220001,132.277664,2615600
2016-12-21,147.070007,147.630005,145.699997,146.169998,131.334244,2491800
2016-12-22,146.309998,146.610001,145.119995,146.360001,131.504974,1820500
2016-12-23,146.350006,147.729996,146.240005,147.550003,132.574173,2169700
2016-12-27,147.770004,150.110001,147.770004,148.360001,133.301987,1941000
2016-12-28,148.630005,149.149994,147.360001,147.669998,132.682007,1804000
2016-12-29,147.369995,148.690002,147.369995,147.779999,132.780869,1655500
2016-12-30,147.630005,148.750000,145.619995,146.210007,131.370193,3193100
2017-01-03,147.860001,151.000000,147.119995,150.729996,135.431458,3640900
2017-01-04,152.089996,153.720001,151.770004,152.869995,137.354202,3945900
2017-01-05,152.720001,153.399994,151.509995,152.979996,137.453033,3441700
2017-01-06,159.880005,161.000000,156.669998,156.779999,140.867386,9899300
2017-01-09,157.009995,158.949997,156.630005,158.839996,142.718323,4247700
2017-01-10,158.490005,159.130005,157.240005,158.759995,142.646408,3324400
2017-01-11,159.160004,159.160004,154.500000,156.619995,140.723618,4821300
2017-01-12,155.440002,156.149994,154.559998,155.360001,139.591492,3234800
2017-01-13,155.279999,157.210007,154.889999,156.119995,140.274368,2637500
2017-01-17,155.139999,156.119995,153.529999,154.800003,139.088333,3404900
2017-01-18,155.690002,155.940002,154.509995,155.770004,139.959885,2432600
2017-01-19,155.130005,155.690002,153.250000,153.800003,138.189819,2571900
2017-01-20,154.710007,155.350006,153.820007,154.669998,138.971542,3067400
2017-01-23,154.210007,154.550003,152.399994,152.720001,137.219452,2458200
2017-01-24,152.820007,153.000000,150.380005,151.850006,136.437744,3027700
2017-01-25,152.529999,154.820007,151.770004,154.100006,138.459396,3479500
2017-01-26,155.000000,155.800003,152.899994,152.979996,137.453033,3366900
2017-01-27,153.229996,157.500000,152.759995,157.160004,141.208817,4885200
2017-01-30,157.100006,157.179993,153.770004,154.429993,138.755905,3758400
2017-01-31,153.699997,156.960007,153.149994,156.679993,140.777512,3351300
2017-02-01,158.589996,159.750000,157.050003,159.669998,143.464050,3924800
2017-02-02,159.729996,159.940002,156.910004,159.580002,143.383194,4445400
2017-02-03,166.100006,167.850006,164.860001,167.529999,150.526260,7366600
2017-02-06,166.179993,166.889999,165.130005,166.580002,149.672699,4389200
2017-02-07,167.000000,167.720001,165.600006,166.820007,149.888336,3584300
2017-02-08,166.500000,168.350006,166.320007,168.119995,151.056396,3493400
2017-02-09,165.750000,167.789993,165.500000,167.470001,150.472382,4281400
2017-02-10,167.800003,168.309998,167.029999,167.889999,150.849731,2931200
2017-02-13,167.720001,168.259995,166.679993,167.660004,151.682068,3602800
2017-02-14,167.070007,168.070007,165.570007,168.050003,152.034897,3116700
2017-02-15,167.320007,172.000000,167.000000,171.789993,155.418472,4058800
2017-02-16,171.559998,172.169998,170.300003,172.110001,155.707977,2660600
2017-02-17,171.350006,173.360001,168.889999,173.289993,156.775543,4154900
2017-02-21,172.850006,173.500000,171.860001,173.139999,156.639816,3941200
2017-02-22,172.330002,174.699997,171.889999,172.610001,156.160339,2579800
2017-02-23,172.750000,174.009995,171.889999,174.009995,157.426895,2190800
2017-02-24,173.289993,174.720001,172.479996,174.559998,157.924515,2677300
2017-02-27,174.210007,176.270004,173.710007,176.130005,159.344925,2850700
2017-02-28,175.460007,178.250000,175.419998,176.529999,159.706757,3370400
2017-03-01,178.000000,179.679993,175.759995,178.240005,161.253799,3532300
2017-03-02,177.720001,178.860001,176.820007,178.070007,161.100021,3493000
